sid,impd,date,gear,grid,effort
87680,MGSL,6/14/2021,Catfish Electro,35,0.083333333
87676,MGSL,6/14/2021,Catfish Electro,44,0.083333333
87675,MGSL,6/14/2021,Catfish Electro,54,0.083333333
87673,MGSL,6/14/2021,Catfish Electro,56,0.083333333
87674,MGSL,6/14/2021,Catfish Electro,60,0.083333333
87954,MGSL,6/22/2021,Catfish Electro,20,0.083333333
87953,MGSL,6/22/2021,Catfish Electro,23,0.083333333
87952,MGSL,6/22/2021,Catfish Electro,32,0.083333333
87955,MGSL,6/22/2021,Catfish Electro,35,0.083333333
87956,MGSL,6/22/2021,Catfish Electro,44,0.083333333
87951,MGSL,6/22/2021,Catfish Electro,54,0.083333333
87957,MGSL,6/22/2021,Catfish Electro,56,0.083333333
87958,MGSL,6/22/2021,Catfish Electro,60,0.083333333
88115,MGSL,7/6/2021,Catfish Electro,20,0.083333333
88114,MGSL,7/6/2021,Catfish Electro,23,0.083333333
88112,MGSL,7/6/2021,Catfish Electro,32,0.083333333
88118,MGSL,7/6/2021,Catfish Electro,35,0.083333333
88113,MGSL,7/6/2021,Catfish Electro,44,0.083333333
88111,MGSL,7/6/2021,Catfish Electro,54,0.083333333
88116,MGSL,7/6/2021,Catfish Electro,56,0.083333333
88117,MGSL,7/6/2021,Catfish Electro,60,0.083333333
88317,MGSL,7/12/2021,Catfish Electro,20,0.083333333
88316,MGSL,7/12/2021,Catfish Electro,23,0.083333333
88314,MGSL,7/12/2021,Catfish Electro,32,0.083333333
88312,MGSL,7/12/2021,Catfish Electro,35,0.083333333
88315,MGSL,7/12/2021,Catfish Electro,44,0.083333333
88313,MGSL,7/12/2021,Catfish Electro,54,0.083333333
88318,MGSL,7/12/2021,Catfish Electro,56,0.083333333
88319,MGSL,7/12/2021,Catfish Electro,60,0.083333333
88469,MGSL,7/20/2021,Catfish Electro,20,0.083333333
88468,MGSL,7/20/2021,Catfish Electro,23,0.083333333
88466,MGSL,7/20/2021,Catfish Electro,32,0.083333333
88464,MGSL,7/20/2021,Catfish Electro,35,0.083333333
88467,MGSL,7/20/2021,Catfish Electro,44,0.083333333
88465,MGSL,7/20/2021,Catfish Electro,54,0.083333333
88470,MGSL,7/20/2021,Catfish Electro,56,0.083333333
88471,MGSL,7/20/2021,Catfish Electro,60,0.083333333
88681,MGSL,8/2/2021,Catfish Electro,20,0.083333333
88680,MGSL,8/2/2021,Catfish Electro,23,0.083333333
88678,MGSL,8/2/2021,Catfish Electro,32,0.083333333
88677,MGSL,8/2/2021,Catfish Electro,35,0.083333333
88679,MGSL,8/2/2021,Catfish Electro,44,0.083333333
88676,MGSL,8/2/2021,Catfish Electro,54,0.083333333
88675,MGSL,8/2/2021,Catfish Electro,56,0.083333333
88682,MGSL,8/2/2021,Catfish Electro,60,0.083333333
88827,MGSL,8/12/2021,Catfish Electro,20,0.083333333
88826,MGSL,8/12/2021,Catfish Electro,23,0.083333333
88823,MGSL,8/12/2021,Catfish Electro,32,0.083333333
88821,MGSL,8/12/2021,Catfish Electro,35,0.083333333
88822,MGSL,8/12/2021,Catfish Electro,44,0.083333333
88820,MGSL,8/12/2021,Catfish Electro,54,0.083333333
88824,MGSL,8/12/2021,Catfish Electro,56,0.083333333
88825,MGSL,8/12/2021,Catfish Electro,60,0.083333333
89014,MGSL,8/17/2021,Catfish Electro,20,0.083333333
89016,MGSL,8/17/2021,Catfish Electro,23,0.083333333
89015,MGSL,8/17/2021,Catfish Electro,32,0.083333333
89017,MGSL,8/17/2021,Catfish Electro,35,0.083333333
89018,MGSL,8/17/2021,Catfish Electro,44,0.083333333
89013,MGSL,8/17/2021,Catfish Electro,54,0.083333333
89019,MGSL,8/17/2021,Catfish Electro,56,0.083333333
89021,MGSL,8/17/2021,Catfish Electro,60,0.083333333
87630,NOSL,6/9/2021,Catfish Electro,13,0.083333333
87627,NOSL,6/9/2021,Catfish Electro,24,0.083333333
87631,NOSL,6/9/2021,Catfish Electro,26,0.083333333
87629,NOSL,6/9/2021,Catfish Electro,29,0.083333333
87626,NOSL,6/9/2021,Catfish Electro,32,0.083333333
87632,NOSL,6/9/2021,Catfish Electro,43,0.083333333
87628,NOSL,6/9/2021,Catfish Electro,45,0.083333333
87625,NOSL,6/9/2021,Catfish Electro,48,0.083333333
87686,NOSL,6/14/2021,Catfish Electro,13,0.083333333
87683,NOSL,6/14/2021,Catfish Electro,24,0.083333333
87688,NOSL,6/14/2021,Catfish Electro,26,0.083333333
